feature,mean_abs_shap
total_concurrent_load,4.463152584336176
power_level_encoded,1.0670883339518633
hour_sin,0.5871762524972497
p3_concurrent_load,0.5177763478429397
minute_of_day,0.40433878681679725
power_level_kw_min,0.2502461115144519
vehicle_count,0.15678967423747128
charging_load_kw,0.12612726441194136
is_peak_morning,0.11091680901598286
load_share,0.06320251415594712
is_workday,0.060513807521249324
power_level_kw_max,0.054284240655908395
hour_cos,0.05357668112080777
energy_ratio_median,0.03757588291104531
hour_of_day,0.024551088932619876
battery_median_kwh,0.01056798117441241
vehicle_type_encoded,0.009729987044519512
daily_charging_freq,0.0019225791076698808
is_daytime,0.0002423259058594705
is_peak_evening,0.00017704829519614595
is_service_vehicle,0.00012489660740597168
is_night,7.864847128512357e-06
ecr_month_mean,0.0
