feature,mean_abs_shap
total_concurrent_load,0.18616236630065558
p3_concurrent_load,0.09416211483566177
minute_of_day,0.045926578910314604
hour_sin,0.04566869309320644
hour_cos,0.03054542335964082
hour_of_day,0.03038449516399703
power_level_kw_max,0.025653534526667535
power_level_kw_min,0.02337052457910003
power_level_encoded,0.021808973555136398
is_workday,0.015371304071859241
charging_load_kw,0.008799840492086763
is_night,0.006301979643201578
load_share,0.005781323123575288
vehicle_count,0.005037005843226956
is_daytime,0.00480992411783509
is_peak_evening,0.00457316697827769
battery_median_kwh,0.0020148069083168654
daily_charging_freq,0.001361950407232273
energy_ratio_median,0.0013229901356895141
is_peak_morning,0.0012096404609922323
vehicle_type_encoded,0.0011148249203182645
is_service_vehicle,0.0005142178625016113
ecr_month_mean,0.0
