feature,mean_abs_shap
total_concurrent_load,5.782197155139903
power_level_encoded,1.4026945802055668
p3_concurrent_load,0.8713281885713208
power_level_kw_min,0.38879477207821095
hour_cos,0.29325322941410503
minute_of_day,0.1142374795536406
hour_sin,0.08138934918781729
is_workday,0.08124679027909183
power_level_kw_max,0.055910871044138846
is_daytime,0.03351803654490964
hour_of_day,0.026811365420959198
vehicle_count,0.019246693631109087
is_night,0.014897977408627038
is_peak_evening,0.010353991971751672
charging_load_kw,0.00527540985114174
load_share,0.004936044338627252
energy_ratio_median,0.0009590847582067362
battery_median_kwh,0.0006602778936293909
daily_charging_freq,0.0001348935146851001
vehicle_type_encoded,0.00012446283626719377
is_service_vehicle,2.7455944940447803e-06
is_peak_morning,0.0
ecr_month_mean,0.0
