type_2,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
Bus,0.3333333333333333,1.0,1.7,2.966666666666667,5.916666666666667
Official car,0.3333333333333333,0.4666666666666667,0.7666666666666667,1.1333333333333333,2.1333333333333333
Private car,0.3333333333333333,0.36666666666666664,0.4666666666666667,0.6333333333333333,1.0333333333333332
Rental car,0.3333333333333333,0.5,0.7333333333333333,1.2666666666666666,2.4166666666666665
SPV,0.3333333333333333,0.5333333333333333,0.8333333333333334,1.3,2.45
Taxi,0.3333333333333333,0.8,1.1,1.4666666666666666,2.4666666666666663
