,P1 & P2 & P3,P2 & P3,P1 & P3,P1 & P2,P3,P2,P1
Private car,10.511321592422673,29.684031374870507,5.967885156134379,9.834245967145183,6.204676631641261,26.33195204972621,11.46588722805979
Taxi,8.633093525179856,61.87050359712231,3.26508024349751,1.0514665190924184,7.802988378527948,15.882678472606528,1.4941892639734367
Official car,11.696081364044272,44.42117858211188,5.39934190846545,5.429255160035896,10.290158540233325,16.51211486688603,6.251869578223153
Rental car,12.843691148775896,48.06026365348399,7.193973634651601,1.694915254237288,23.540489642184557,3.2768361581920904,3.389830508474576
Bus,2.0432957808703334,18.87563507841838,1.0161254694057875,27.965540092776674,29.44554892865032,10.238568588469185,10.415286061409322
SPV,1.8800358102059087,12.555953446732318,0.06714413607878246,16.853178155774394,1.6786034019695615,57.58728737690242,9.377797672336616
