,Temperature,ECR
0,-4.6,24.23076923076923
1,0.2,19.833333333333336
2,7.8,17.56530612244898
3,14.3,15.697872340425532
4,20.0,15.575999999999999
5,24.7,16.373764600179694
6,26.1,17.010309278350515
7,24.0,16.625
8,18.6,16.57894736842105
9,10.9,17.17698795180723
10,5.3,19.3875
11,-1.6,23.90833333333333
12,6.0,20.36176470588235
13,8.5,18.087878787878786
14,12.2,17.470212765957445
15,17.1,16.176470588235293
16,21.5,16.346769033909148
17,25.3,16.635220125786162
18,28.7,17.926829268292682
19,28.4,17.69438202247191
20,25.0,17.18622174381055
21,20.2,16.7323600973236
22,15.3,17.5
23,9.7,19.854545454545452
24,14.2,15.366746411483254
25,17.5,14.739393939393942
26,19.7,15.01408839779005
27,22.8,15.583858998144711
28,25.9,16.964423076923076
29,27.5,17.066666666666666
30,28.8,17.554193548387094
31,28.3,17.382266009852216
32,26.5,17.735849056603772
33,23.7,16.437769080234833
34,21.5,15.141774193548388
35,16.8,15.47906976744186
36,15.6,17.333333333333336
37,18.0,16.529133858267716
38,20.4,17.03787878787879
39,23.5,17.48996282527881
40,26.7,19.135353535353534
41,28.1,18.591397849462364
42,29.2,18.525212464589234
43,28.7,18.28571428571429
44,27.2,18.478463705524735
45,24.3,17.492063492063494
46,22.5,16.768635437881876
47,18.2,17.216216216216218
48,2.6,20.27230046948357
49,5.9,17.700000000000003
50,10.9,17.073170731707318
51,16.5,16.153846153846153
52,21.8,16.46518987341772
53,25.6,17.5
54,28.4,18.46702702702703
55,28.0,17.70731707317073
56,23.9,16.933333333333334
57,17.1,16.56547619047619
58,12.3,17.52
59,5.1,20.293436293436294
60,6.3,17.5
61,9.5,15.639285714285714
62,13.5,15.378844711177795
63,17.9,15.36293436293436
64,21.2,15.320366972477062
65,24.5,15.822784810126583
66,25.8,16.93002257336343
67,25.1,16.44304280537756
68,21.0,15.657620041753653
69,16.0,15.670704845814978
70,12.4,15.520979277461947
71,8.1,17.845454545454544
72,8.0,18.85585585585586
73,10.9,16.479565618673334
74,14.3,16.052818225793963
75,19.0,15.906796116504854
76,23.6,15.827191867852603
77,27.1,16.36121375501348
78,29.0,17.416666666666668
79,28.2,17.228571428571428
80,23.4,16.738853503184714
81,18.1,16.2
82,15.1,16.831862338533025
83,9.2,18.84615384615385
