,Beijing,Shenzhen,Shanghai,Guangzhou,Chengdu,Chongqing,Nanjing
Private car,73.52320254929298,45.3716782080448,68.23213345039508,40.0101228284038,34.708458832455804,46.88890257231262,35.10543935448797
Taxi,3.3974952259334326,6.844516387090321,5.294117647058823,14.530536010892734,7.460970730922218,8.895337202321393,14.279378522990644
Official car,8.350340335297632,10.180057998550035,10.988937664618085,14.595051220085974,14.247120226243307,5.773464078447069,12.370883287075454
Rental car,3.771454010801692,8.057923551911202,4.292888498683055,14.42324828731724,16.658427792978184,24.4677575776235,21.1250679561647
Bus,4.538585001815903,2.4615009624759376,5.2758560140474104,5.781418194001868,5.072655369829628,2.7185542094487465,6.2047555008727
SPV,6.418922876858371,27.084322891927698,5.916066725197542,10.659623459298388,21.85236704757088,11.255984359846678,10.914475378408538
