cluster_id,t,q25,q50,q75,Type
0,0,1.471523116935383,4.166680792515928,11.101545772769235,Weekday
0,1,1.4000853300094604,3.9114514047449287,10.098092251880601,Weekday
0,2,1.1944163468751041,3.366752180186185,8.63998688080094,Weekday
0,3,0.9389851906082847,2.740662076256492,7.058100085366856,Weekday
0,4,0.662550075487657,2.0807455561377783,5.4617497534914445,Weekday
0,5,0.4425669420849193,1.5033190250396729,4.170061057264155,Weekday
0,6,0.2653037418018688,1.0134780623696067,3.018906593322754,Weekday
0,7,0.1175119118257002,0.6037458614869551,2.1437108381228014,Weekday
0,8,0.0,0.4200635769150473,1.7287937836213545,Weekday
0,9,0.0,0.2956760579889471,1.6288324973799966,Weekday
0,10,0.0,0.301045222715898,1.704516286199743,Weekday
0,11,0.0,0.3949702490459789,1.9579393376003613,Weekday
0,12,0.0,0.4570269584655761,2.153025123206052,Weekday
0,13,0.0,0.4468147294087843,2.077646789225665,Weekday
0,14,0.0,0.3876671574332497,1.8664226667447523,Weekday
0,15,0.0,0.3550835685296492,1.7562975016507236,Weekday
0,16,0.0,0.4055815718390725,1.8587264838543804,Weekday
0,17,0.06733646717938505,0.555908896706321,2.3078664487058465,Weekday
0,18,0.15796649456024164,0.8345870538191362,2.9774472388354214,Weekday
0,19,0.2842113863338124,1.2080664851448752,3.9304587353359572,Weekday
0,20,0.5131193832917647,1.7594657161019065,5.124644962224093,Weekday
0,21,0.7994442744688555,2.489136105233973,6.764579955149781,Weekday
0,22,1.0900984027168967,3.231143908067183,8.5337207574736,Weekday
0,23,1.3051768324591895,3.664611946452748,9.624442105943508,Weekday
0,0,1.9412828348577023,5.223763406276703,13.292936138808727,Weekend/holiday
0,1,1.8214295357465744,4.952985681593418,12.462525002658367,Weekend/holiday
0,2,1.5425793826580048,4.300937943160534,10.784738838672638,Weekend/holiday
0,3,1.2187657952308655,3.4448839128017426,9.024555195122957,Weekend/holiday
0,4,0.8043038547039032,2.6552006006240845,7.15999186784029,Weekend/holiday
0,5,0.6334491968154907,1.9514022469520569,5.510743096470833,Weekend/holiday
0,6,0.316967710852623,1.325015276670456,4.068970615044236,Weekend/holiday
0,7,0.0,0.7812680602073669,2.921522468328476,Weekend/holiday
0,8,0.0,0.6181027293205261,2.1435350626707077,Weekend/holiday
0,9,0.0,0.3945440649986267,1.7483283206820488,Weekend/holiday
0,10,0.0,0.3687319159507751,1.6875854656100273,Weekend/holiday
0,11,0.0,0.4099860191345215,1.9393181800842285,Weekend/holiday
0,12,0.0,0.5133697390556335,2.1842937916517258,Weekend/holiday
0,13,0.0,0.5150254219770432,2.234400436282158,Weekend/holiday
0,14,0.0,0.4702791422605514,2.170156866312027,Weekend/holiday
0,15,0.0,0.5017311573028564,2.1732897609472275,Weekend/holiday
0,16,0.0,0.6242248117923737,2.310920760035515,Weekend/holiday
0,17,0.0,0.7451539039611816,2.8686212301254272,Weekend/holiday
0,18,0.0,1.049562394618988,3.55026463419199,Weekend/holiday
0,19,0.33095044642686844,1.501664638519287,4.521050423383713,Weekend/holiday
0,20,0.6876366809010506,2.143368273973465,5.956151857972145,Weekend/holiday
0,21,1.002673700451851,3.0090284794569016,8.072350427508354,Weekend/holiday
0,22,1.4651083648204803,4.01515543460846,10.529259264469147,Weekend/holiday
0,23,1.626255288720131,4.504971742630005,11.754948236048222,Weekend/holiday
1,0,1.76697530800646,7.0881290547549725,26.25586452843113,Weekday
1,1,1.4187265112996101,5.649816429496489,20.402273429388348,Weekday
1,2,1.0845300379124556,4.465874812819742,15.436417082493957,Weekday
1,3,0.8105619658123363,3.4616153131831773,12.095181169835005,Weekday
1,4,0.5732873515649275,2.786041389812123,9.64864354106513,Weekday
1,5,0.4292300099676305,2.3323770334774796,9.414576837962324,Weekday
1,6,0.33303246714852075,2.1867136250842703,11.00835355032574,Weekday
1,7,0.3508021973750808,2.482393519444899,14.281012306159193,Weekday
1,8,0.47251406718384137,3.235888237302954,18.321952989155598,Weekday
1,9,0.5556919899853793,3.8912261697379025,23.63429107517004,Weekday
1,10,0.7173544358123433,4.339916408965082,27.738251916386865,Weekday
1,11,0.8950674357739362,5.1939173151146285,31.500623148950663,Weekday
1,12,1.0370156602426008,5.476447855884379,35.24773913080042,Weekday
1,13,1.0373432155359874,5.359339300881732,32.74206072769382,Weekday
1,14,0.9681909734552556,4.901231865991246,30.317769624970175,Weekday
