type_2,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
Bus,0,0.49,0.8,1.33,2.5900000000000003
Official car,0,0.13,0.3,0.67,1.48
Private car,0,0.07,0.14,0.24,0.495
Rental car,0,0.17,0.43,0.79,1.72
SPV,0,0.23,0.43,0.71,1.43
Taxi,0,0.31,0.62,0.9,1.7850000000000001
