,Beijing,Shanghai,Guangzhou,Shenzhen,Nanjing,Chengdu,Chongqing
0,24.23076923076923,20.36176470588235,15.366746411483254,17.333333333333336,20.27230046948357,17.5,18.85585585585586
1,19.833333333333336,18.087878787878786,14.739393939393942,16.529133858267716,17.700000000000003,15.639285714285714,16.479565618673334
2,17.56530612244898,17.470212765957445,15.01408839779005,17.03787878787879,17.073170731707318,15.378844711177795,16.052818225793963
3,15.697872340425532,16.176470588235293,15.583858998144711,17.48996282527881,16.153846153846153,15.36293436293436,15.906796116504854
4,15.575999999999999,16.346769033909148,16.964423076923076,19.135353535353534,16.46518987341772,15.320366972477062,15.827191867852603
5,16.373764600179694,16.635220125786162,17.066666666666666,18.591397849462364,17.5,15.822784810126583,16.36121375501348
6,17.010309278350515,17.926829268292682,17.554193548387094,18.525212464589234,18.46702702702703,16.93002257336343,17.416666666666668
7,16.625,17.69438202247191,17.382266009852216,18.28571428571429,17.70731707317073,16.44304280537756,17.228571428571428
8,16.57894736842105,17.18622174381055,17.735849056603772,18.478463705524735,16.933333333333334,15.657620041753653,16.738853503184714
9,17.17698795180723,16.7323600973236,16.437769080234833,17.492063492063494,16.56547619047619,15.670704845814978,16.2
10,19.3875,17.5,15.141774193548388,16.768635437881876,17.52,15.520979277461947,16.831862338533025
11,23.90833333333333,19.854545454545452,15.47906976744186,17.216216216216218,20.293436293436294,17.845454545454544,18.84615384615385
