city_En,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
Beijing,20.35,101.5,123.65,162.0,252.75
Chengdu,21.63,70.656,77.28,126.7,210.76600000000002
Chongqing,21.63,133.51,180.87,251.31,351.23
Guangzhou,86.10899999999998,222.45,303.1,313.344,351.23
Nanjing,25.53,62.2,101.568,221.1,322.56
Shanghai,26.6,147.5,282.2,314.14,374.65
Shenzhen,43.7,165.9,207.3,255.7,365.0
