,Private car_workday_driving,Private car_workday_charging,Private car_workday_parked,Private car_weekend & holiday_driving,Private car_weekend & holiday_charging,Private car_weekend & holiday_parked,Taxi_workday_driving,Taxi_workday_charging,Taxi_workday_parked,Taxi_weekend & holiday_driving,Taxi_weekend & holiday_charging,Taxi_weekend & holiday_parked,Official car_workday_driving,Official car_workday_charging,Official car_workday_parked,Official car_weekend & holiday_driving,Official car_weekend & holiday_charging,Official car_weekend & holiday_parked,Rental car_workday_driving,Rental car_workday_charging,Rental car_workday_parked,Rental car_weekend & holiday_driving,Rental car_weekend & holiday_charging,Rental car_weekend & holiday_parked,Bus_workday_driving,Bus_workday_charging,Bus_workday_parked,Bus_weekend & holiday_driving,Bus_weekend & holiday_charging,Bus_weekend & holiday_parked,SPV_workday_driving,SPV_workday_charging,SPV_workday_parked,SPV_weekend & holiday_driving,SPV_weekend & holiday_charging,SPV_weekend & holiday_parked
0,0.09160344399128768,0.16167646069961555,0.7467200953090968,0.10732231870075574,0.18118367100820068,0.7114940102910436,0.1497859025032938,0.3373956960913483,0.512818401405358,0.15564613526570048,0.3639794685990338,0.48037439613526567,0.15906459132265582,0.16516279419505225,0.675772614482292,0.1880893300248139,0.19305210918114143,0.6188585607940447,0.29525014599961064,0.13875802997858672,0.5659918240218027,0.3634368308351178,0.1748394004282655,0.4617237687366167,0.04879492600422833,0.10637420718816068,0.844830866807611,0.04828488372093023,0.13114825581395348,0.8205668604651163,0.109464378575143,0.1265186971115208,0.7640169243133361,0.13257280291211648,0.15672126885075402,0.7107059282371295
1,0.08747935213202941,0.15719788331944629,0.7553227645485243,0.10434756391702846,0.1773446293616337,0.7183078067213379,0.13515590689503731,0.3363526570048309,0.5284914361001317,0.1442481884057971,0.36405495169082125,0.49169685990338163,0.15083840890292505,0.16468155500413564,0.6844800360929393,0.1803556658395368,0.19313482216708022,0.626509511993383,0.28063071831808445,0.1449484134708974,0.5744208682110181,0.34764453961456104,0.18035331905781585,0.47200214132762314,0.04615750528541226,0.10041754756871037,0.8534249471458774,0.04510174418604651,0.12430232558139535,0.8305959302325582,0.10712428497139885,0.12029026615610079,0.7725854488725004,0.1295176807072283,0.1455083203328133,0.7249739989599584
2,0.08382120773582423,0.15251830899443056,0.7636604832697452,0.1009959398617141,0.1727518491718926,0.7262522109663934,0.12123956960913483,0.3328941589811155,0.5458662714097496,0.13352958937198067,0.36118659420289856,0.5052838164251208,0.14137905105647042,0.1638920219565381,0.6947289269869915,0.17100909842845327,0.19191480562448304,0.6370760959470637,0.2641424956200117,0.14938680163519563,0.5864707027447927,0.33281584582441115,0.18602783725910063,0.4811563169164882,0.04456659619450317,0.09612579281183932,0.8593076109936575,0.04366279069767442,0.11957848837209302,0.8367587209302325,0.10402779747553538,0.11336453458138325,0.7826076679430813,0.12909516380655225,0.13410036401456057,0.7368044721788871
3,0.08074595447967373,0.14744953149439402,0.7718045140259323,0.09814680816851584,0.16775205016883743,0.7341011416626467,0.10929951690821256,0.3275417215634607,0.5631587615283268,0.12401871980676328,0.3549969806763285,0.5209842995169083,0.1319196932100158,0.16202722009173623,0.706053086698248,0.16333746898263027,0.18943341604631928,0.6472291149710505,0.24864707027447927,0.15004866653688925,0.6013042631886315,0.3170235546038544,0.1869914346895075,0.4959850107066381,0.042727272727272725,0.09465644820295982,0.8626162790697675,0.0413953488372093,0.1167732558139535,0.8418313953488372,0.1025268283458611,0.10673426937077483,0.7907389022833641,0.12717758710348415,0.12545501820072802,0.7473673946957878
4,0.078242628893859,0.14186181642766302,0.7798955546784779,0.09579514391381251,0.1622849332690143,0.7419199228171732,0.09919850680720246,0.3210913482652613,0.5797101449275363,0.11503623188405797,0.34473128019323673,0.5402324879227053,0.12399428528460786,0.15799684186780963,0.7180088728475825,0.15618279569892474,0.1847394540942928,0.6590777502067824,0.2360132372980339,0.14999026669262217,0.6139964960093439,0.3027301927194861,0.18774089935760171,0.5095289079229122,0.03994714587737844,0.09712473572938689,0.8629281183932347,0.038517441860465115,0.11982558139534884,0.841656976744186,0.1034250460927528,0.09979671914149293,0.7967782347657543,0.12893265730629225,0.1156721268850754,0.7553952158086323
5,0.07605541668493912,0.1361809118683214,0.7877636714467395,0.09337313072841293,0.15626004984724232,0.7503668194243448,0.0886034255599473,0.3118412384716732,0.5995553359683795,0.10869565217391304,0.3359752415458937,0.5553291062801933,0.11761034664260471,0.1536431310624859,0.7287465222949093,0.14815963606286187,0.18089330024813896,0.6709470636889991,0.22328207124781002,0.14652520926610862,0.6301927194860812,0.28977516059957176,0.1880085653104925,0.5222162740899358,0.037050739957716704,0.08836680761099366,0.8745824524312896,0.03563953488372093,0.10931686046511628,0.8550436046511628,0.10491419656786272,0.09301281142154777,0.8020729920105895,0.12912766510660426,0.1063767550702028,0.7644955798231929
6,0.07408564662544402,0.13024602026049203,0.7956683331140639,0.0913179369673581,0.14891863643672615,0.7597634265959158,0.08006697408871322,0.302179402722881,0.6177536231884058,0.09963768115942029,0.3287288647342995,0.5716334541062802,0.11073013008496879,0.14851492593428076,0.7407549439807505,0.1411703887510339,0.17578577336641854,0.6830438378825475,0.2119719680747518,0.14146388942962818,0.64656414249562,0.2787473233404711,0.1832441113490364,0.5380085653104925,0.03783826638477802,0.07645877378435517,0.8857029598308668,0.03683139534883721,0.09530523255813954,0.8678633720930233,0.10389779227532737,0.08697347893915756,0.8091287287855151,0.12873764950598024,0.09971398855954239,0.7715483619344774
7,0.07280109342337997,0.12429285620313117,0.8029060503734889,0.0898757838880849,0.14311987457790643,0.7670043415340086,0.07273825208607818,0.2918862538427756,0.6353754940711462,0.09148550724637682,0.31717995169082125,0.5913345410628019,0.10540642153545378,0.14308594631175278,0.7515076321527935,0.13409842845326717,0.17152605459057071,0.6943755169561622,0.20109013042631887,0.13478684056842516,0.664123029005256,0.27210920770877944,0.17751605995717346,0.5503747323340471,0.037219873150105706,0.06954545454545455,0.8932346723044398,0.03556686046511628,0.08565406976744186,0.8787790697674419,0.10323594761972298,0.08126506878456957,0.8154989835957075,0.12873764950598024,0.09308372334893396,0.7781786271450858
8,0.07186188951746116,0.1183031472467073,0.8098349632358315,0.08856427882296189,0.13674324650265315,0.774692474674385,0.0661231884057971,0.28167545015371104,0.6522013614404918,0.08461654589371981,0.30434782608695654,0.6110356280193237,0.09984209339048047,0.13633355891420407,0.7638243476953155,0.1295078577336642,0.1650330851943755,0.7054590570719603,0.19538641230290055,0.12859645707611445,0.676017130620985,0.26316916488222697,0.17119914346895074,0.5656316916488223,0.038012684989429175,0.0643446088794926,0.8976427061310782,0.03648255813953488,0.07863372093023256,0.8848837209302325,0.10692336784380467,0.07554483997541721,0.8175317921807782,0.1327028081123245,0.08671346853874155,0.780583723348934
9,0.07085690479322897,0.11241759125261296,0.8167255039541581,0.08748392024441229,0.13061283968483678,0.781903240070751,0.06035902503293807,0.2693785682916118,0.6702624066754501,0.07797403381642512,0.2938556763285024,0.6281702898550725,0.09528535980148883,0.13024287540416574,0.7744717647943453,0.12531017369727046,0.158560794044665,0.7161290322580646,0.18929336188436832,0.12193887482966713,0.6887677632859646,0.2538008565310492,0.16188436830835118,0.5843147751605996,0.039497885835095135,0.06042811839323466,0.9000739957716701,0.038299418604651164,0.07207848837209302,0.8896220930232558,0.1101616791944405,0.0699664350210372,0.8198718857845223,0.1356604264170567,0.08070072802912116,0.7836388455538221
