feature,mean_abs_shap
total_concurrent_load,0.24681110637848283
p3_concurrent_load,0.09441466407803016
power_level_kw_min,0.031457404054137224
power_level_kw_max,0.03138024921066233
hour_cos,0.02769350042223583
power_level_encoded,0.027369832094574095
hour_sin,0.025035708098004452
minute_of_day,0.017667865000068034
is_workday,0.015381079771757173
hour_of_day,0.012749225090819471
charging_load_kw,0.007183281955040905
is_night,0.0045861417598629306
load_share,0.004399046861434407
is_daytime,0.0041995884830651545
vehicle_count,0.003676431707561559
is_peak_evening,0.0013943593613689345
energy_ratio_median,0.0009910368619049715
battery_median_kwh,0.0008913967340725934
daily_charging_freq,0.0007753971005993648
vehicle_type_encoded,0.0006142510001275428
is_peak_morning,0.0003399907150525294
is_service_vehicle,0.00033901158415359703
ecr_month_mean,0.0
