feature,mean_abs_shap
total_concurrent_load,0.20148266797983214
p3_concurrent_load,0.10951757168426013
power_level_kw_min,0.03361283640155315
hour_cos,0.0317893212564303
power_level_kw_max,0.031122359328682066
hour_sin,0.026646566587930888
power_level_encoded,0.02651852405784561
minute_of_day,0.02303186440283112
is_workday,0.01896858390471008
hour_of_day,0.01628291207979282
charging_load_kw,0.008731660259106436
is_night,0.00541102282166791
is_daytime,0.005330711661378378
load_share,0.005237645118159468
vehicle_count,0.005117134437462151
is_peak_evening,0.0015394921968661095
battery_median_kwh,0.0014005340968870743
energy_ratio_median,0.0013033597025146552
vehicle_type_encoded,0.0011297927014631223
daily_charging_freq,0.0010880183902012234
is_service_vehicle,0.0005113295999821882
is_peak_morning,0.00041365837472022985
ecr_month_mean,0.0
