feature,mean_abs_shap
charging_load_kw,2.721951639521985
load_share,2.5210109654770148
hour_sin,1.5502253741284115
is_workday,0.7315891766017263
hour_cos,0.5818422598354407
minute_of_day,0.4697964467496082
vehicle_count,0.42014095985701444
hour_of_day,0.20249043256857507
is_daytime,0.1789037530853102
battery_median_kwh,0.12245389669660459
vehicle_type_encoded,0.09576090958106943
energy_ratio_median,0.0658092910635914
daily_charging_freq,0.04163667803060729
is_peak_evening,0.030430314387335674
is_night,0.024336048077889135
is_peak_morning,0.014519359695846208
is_service_vehicle,0.012331020418078128
ecr_month_mean,0.0
