feature,mean_abs_shap
is_workday,0.08844081448202135
hour_cos,0.08182923163715447
hour_sin,0.0692879788282987
minute_of_day,0.06391656659392707
charging_load_kw,0.04735475631320146
hour_of_day,0.045780650328306166
load_share,0.03408888254442698
vehicle_count,0.03140687623819125
is_night,0.012418501401142796
is_daytime,0.011857969443486332
battery_median_kwh,0.009268233934083533
daily_charging_freq,0.0070406918323083975
energy_ratio_median,0.00636703343447159
vehicle_type_encoded,0.005068140975302465
is_peak_evening,0.0032041854730332207
is_peak_morning,0.003173929266689943
is_service_vehicle,0.0027301804054981073
ecr_month_mean,0.0
